Carrier_id,Carrier,Carrier classification,Cargo
1430,citrus reshni,Higher Plants,['brevipalpus phoenicis']
1431,citrus reticulata,Higher Plants,"['neoseiulus californicus', 'citrus tristeza virus', 'colletotrichum gloeosporioides', 'citrus dwarfing viroid', 'guignardia citricarpa', 'ceratitis capitata', 'tylenchulus semipenetrans', 'anastrepha suspensa', 'bacillus amyloliquefaciens', 'lactococcus garvieae']"
1432,citrus sinensis,Higher Plants,"['guignardia citricarpa', 'citrus exocortis viroid', 'toxoptera aurantii', 'tylenchulus semipenetrans', 'citrus variegation virus', 'citrus dwarfing viroid', 'planococcus citri', 'pratylenchus coffeae', 'hop stunt viroid', 'xylella fastidiosa', 'citrus leprosis virus c', 'coccus viridis', 'citrus psorosis virus', 'citrus bent leaf viroid', 'brevipalpus phoenicis', 'eutetranychus banksi', 'indian citrus ringspot virus', 'colletotrichum gloeosporioides', 'citrus leaf blotch virus', 'pseudomonas syringae', 'diaphorina citri', 'mesoplasma seiffertii', 'citrus tristeza virus', 'citrus bark cracking viroid', 'spiroplasma citri', 'panonychus citri', 'acetobacter orientalis']"
1433,citrus trifoliata,Higher Plants,"['citrus dwarfing viroid', 'citrus tristeza virus', 'citrus leaf blotch virus']"
1434,citrus unshiu,Higher Plants,"['aleurocanthus spiniferus', 'satsuma dwarf virus', 'hop stunt viroid', 'citrus leaf blotch virus', 'citrus tristeza virus']"
1435,citrus volkameriana,Higher Plants,['citrus dwarfing viroid']
1436,citrus x paradisi,Higher Plants,['penicillium expansum']
1437,civettictis civetta,Mammal,['rabies virus']
1438,cladonia coniocraea,Fungi,['luteibacter rhizovicinus']
1439,cladonia rangiferina,Fungi,['inquilinus limosus']
1440,clangula hyemalis,Aves,['trichobilharzia physellae']
1441,clanis bilineata,Arthropod,['cordyceps kyushuensis']
1442,claravis pretiosa,Aves,"['columbicola passerinae', 'physconelloides eurysema']"
1443,clarias alluaudi,Fish,['procamallanus laevionchus']
1444,clarias anguillaris,Fish,"['macrogyrodactylus congolensis', 'macrogyrodactylus heterobranchii']"
1445,clarias batrachus,Fish,"['naegleria australiensis', 'lytocestus indicus', 'lytocestus birmanicus', 'naegleria clarki', 'quadriacanthus kobiensis']"
1446,clarias gariepinus,Fish,"['rhabdochona congolensis', 'dolops ranarum', 'edwardsiella tarda', 'allocreadium mazoensis', 'macrogyrodactylus karibae', 'astiotrema reniferum', 'diplostomum mashonense', 'macrogyrodactylus clarii', 'macrogyrodactylus congolensis', 'spinitectus petterae']"
1447,clarias liocephalus,Fish,"['eumasenia bangweulensis', 'polyonchobothrium clarias']"
1448,clarias werneri,Fish,['monobothrioides woodlandi']
1449,clausocalanus arcuicornis,Arthropod,['blastodinium contortum']
1450,cleidopus gloriamaris,Fish,['aliivibrio fischeri']
1451,cleisthenes herzensteini,Fish,['hysterothylacium aduncum']
1452,clianthus puniceus,Higher Plants,"['mesorhizobium amorphae', 'rhizobium leguminosarum']"
1453,clitoria ternatea,Higher Plants,"['stenotrophomonas maltophilia', 'sphingobacterium thalpophilum', 'enterobacter cloacae', 'zucchini yellow mosaic virus', 'pseudomonas geniculata', 'enterobacter turicensis', 'achromobacter xylosoxidans', 'bradyrhizobium elkanii', 'pseudomonas alcaliphila', 'clitoria virus y', 'enterobacter hormaechei']"
1454,clivia miniata,Higher Plants,['narcissus late season yellows virus']
1455,clupea harengus,Fish,"['anisakis simplex', 'ceratomyxa auerbachi', 'gyrodactylus harengi', 'photobacterium iliopiscarium', 'viral hemorrhagic septicemia virus']"
1456,clupea pallasii,Fish,"['viral hemorrhagic septicemia virus', 'caligus clemensi', 'ichthyophonus hoferi', 'bomolochus cuneatus']"
1457,cnaphalocrocis medinalis,Arthropod,"['zoophthora radicans', 'cordyceps bassiana']"
1458,cnephia ornithophilia,Arthropod,['weiseria palustris']
1459,cnidium officinale,Higher Plants,['cucumber mosaic virus']
1460,coccinella septempunctata,Arthropod,['dinocampus coccinellae']
1461,coccinia grandis,Higher Plants,"['papaya ringspot virus', 'tomato leaf curl new delhi virus']"
1462,coccothraustes coccothraustes,Aves,['haemoproteus tartakovskyi']
1463,coccus hesperidum,Arthropod,['fusarium equiseti']
1464,coccus viridis,Arthropod,['lecanicillium attenuatum']
1465,coccyzus americanus,Aves,['coraciacarus americanus']
1466,cocos nucifera,Higher Plants,"['phytomonas staheli', 'bacillus cecembensis', 'bacillus altitudinis', 'bacillus subtilis', 'pantoea agglomerans', 'colletotrichum gloeosporioides', 'bacillus pumilus', 'acinetobacter baylyi', 'lasiodiplodia theobromae', 'raoiella indica', 'bacillus megaterium', 'bacillus anthracis']"
1467,codiaeum variegatum,Higher Plants,['bemisia tabaci']
1468,codonopsis lanceolata,Higher Plants,['rhizopus oryzae']
1469,coelorinchus anatirostris,Fish,['photobacterium kishitanii']
1470,coelorinchus formosanus,Fish,['aliivibrio fischeri']
1471,coelorinchus hubbsi,Fish,['photobacterium kishitanii']
1472,coelorinchus japonicus,Fish,['photobacterium kishitanii']
1473,coelorinchus kamoharai,Fish,['photobacterium kishitanii']
1474,coelorinchus kishinouyei,Fish,['photobacterium kishitanii']
1475,coelorinchus multispinulosus,Fish,['aliivibrio fischeri']
1476,coendou prehensilis,Rodent,['cryptosporidium ubiquitum']
1477,coenosia tigrina,Arthropod,['entomophthora ferdinandii']
1478,cofana spectra,Arthropod,['wolbachia pipientis']
1479,coffea arabica,Higher Plants,"['colletotrichum gloeosporioides', 'scirtothrips dorsalis', 'meloidogyne konaensis', 'pratylenchus coffeae', 'meloidogyne paranaensis', 'radopholus arabocoffeae', 'xylella fastidiosa', 'meloidogyne exigua', 'pseudomonas coronafaciens', 'coccus viridis', 'penicillium citrinum', 'pratylenchus gutierrezi']"
1480,coffea canephora,Higher Plants,"['colletotrichum gloeosporioides', 'radopholus arabocoffeae', 'radopholus duriophilus']"
1481,colaptes auratus,Aves,"['picicola porisma', 'picidectes chapini', 'st. louis encephalitis virus', 'stenopteronyssus proctorae', 'west nile virus']"
1482,colaptes campestris,Aves,['penenirmus auritus']
1483,coleps hirtus,Protozoa,['chlorella vulgaris']
1484,colisa fasciata,Fish,['clinostomum piscidium']
1485,colisa lalia,Fish,"['infectious pancreatic necrosis virus', 'infectious spleen and kidney necrosis virus']"
1486,colletotrichum musae,Fungi,['bacillus subtilis']
1487,colobus angolensis,Primate,['pentatrichomonas hominis']
1488,colobus guereza,Primate,"['simian immunodeficiency virus', 'giardia intestinalis', 'simian foamy virus', 'entamoeba nuttalli', 'trichuris trichiura']"
1489,colobus polykomos,Primate,['pedicinus pictus']
1490,colocasia esculenta,Higher Plants,"['dasheen mosaic virus', 'pratylenchus coffeae', 'curvularia lunata', 'pratylenchus brachyurus', 'groundnut bud necrosis virus']"
1491,cololabis saira,Fish,['anisakis simplex']
1492,colomesus psittacus,Fish,['loma psittaca']
1493,colpomenia sinuosa,Other Plant,['bacillus pumilus']
1494,columba guinea,Aves,['coloceras savoi']
1495,columba livia,Domestic,"['haemoproteus columbae', 'newcastle disease virus', 'columbicola columbae', 'japanese encephalitis virus', 'staphylococcus delphini', 'west nile virus', 'ascaridia columbae', 'cryptococcus neoformans', 'trichomonas gallinae', 'avian coronavirus', 'escherichia coli', 'toxoplasma gondii', 'staphylococcus aureus', 'campanulotes bidentatus', 'avian metapneumovirus', 'tinaminyssus columbae', 'dermanyssus gallinae', 'tinaminyssus melloi', 'hohorstiella lata', 'influenza a virus', 'chlamydophila psittaci', 'aeroglyphus robustus', 'raillietina micracantha']"
1496,columba palumbus,Aves,"['columbicola claviformis', 'tinaminyssus minisetosum', 'coloceras damicorne', 'campanulotes bidentatus', 'tinaminyssus sartbaevi']"
1497,columba subvinacea,Aves,['columbicola macrourae']
1498,columbina inca,Aves,"['hohorstiella passerinae', 'columbicola passerinae', 'physconelloides eurysema']"
1499,columbina passerina,Aves,"['physconelloides eurysema', 'columbicola passerinae']"
1500,comarum palustre,Higher Plants,"['galerucella sagittariae', 'galerucella quebecensis', 'galerucella nymphaeae']"
1501,commelina benghalensis,Higher Plants,['citrus leprosis virus c']
1502,commelina diffusa,Higher Plants,['cucumber mosaic virus']
1503,condylactis gigantea,Cnidaria,['symbiodinium cariborum']
1504,conepatus leuconotus,Mammal,['neotrichodectes arizonae']
1505,conger conger,Fish,['vibrio crassostreae']
1506,conger myriaster,Fish,['anisakis pegreffii']
1507,conium maculatum,Higher Plants,['apium virus y']
1508,connochaetes gnou,Mammal,['anaplasma marginale']
1509,connochaetes taurinus,Mammal,"['rabies virus', 'alcelaphine herpesvirus 1', 'linognathus spicatus']"
1510,conopomorpha sinensis,Arthropod,"['cryptococcus bestiolae', 'cryptococcus dejecticola']"
1511,conopophaga aurita,Aves,['st. louis encephalitis virus']
1512,contopus sordidulus,Aves,['influenza a virus']
1513,conus leopardus,Mollusca,['pseudomonas aeruginosa']
1514,conus litteratus,Mollusca,['pseudomonas aeruginosa']
1515,convolvulus arvensis,Higher Plants,"['tetranychus turkestani', 'neoseiulus californicus']"
1516,convolvulus humilis,Higher Plants,['tomato yellow leaf curl virus']
1517,conyza bonariensis,Higher Plants,['tomato yellow leaf curl virus']
1518,conyza canadensis,Higher Plants,"['conyza phytoplasma', 'bacillus aryabhattai', 'asteromyia modesta']"
1519,copernicia prunifera,Higher Plants,['colletotrichum gloeosporioides']
1520,copitarsia decolora,Arthropod,['euplectrus platyhypenae']
1521,coprosma repens,Higher Plants,['tomato spotted wilt virus']
1522,coptotermes acinaciformis,Arthropod,['wolbachia pipientis']
1523,coptotermes curvignathus,Arthropod,"['chryseobacterium kwangyangense', 'enterobacter cloacae', 'bacillus cereus', 'enterobacter aerogenes']"
1524,coptotermes formosanus,Arthropod,"['pilibacter termitis', 'trichoderma viride', 'spirotrichonympha leidyi', 'pseudotrichonympha grassii', 'holomastigotoides mirabile', 'aspergillus nomius']"
1525,coptotermes gestroi,Arthropod,['metarhizium anisopliae']
1526,coptotermes lacteus,Arthropod,['wolbachia pipientis']
1527,coquillettidia perturbans,Arthropod,['eastern equine encephalitis virus']
1528,coracopsis vasa,Aves,['beak and feather disease virus']
1529,coragyps atratus,Aves,"['mycoplasma corogypsi', 'cryptosporidium baileyi']"
1530,corallina officinalis,Other Plant,['pseudoalteromonas rubra']
1531,corallorhiza trifida,Higher Plants,"['luteibacter rhizovicinus', 'pseudomonas fluorescens']"
1532,corbicula japonica,Mollusca,['norwalk virus']
1533,corchorus capsularis,Higher Plants,"['groundnut bud necrosis virus', 'corchorus golden mosaic virus']"
1534,corchorus siliquosus,Higher Plants,"['corchorus yellow spot virus', 'okra yellow mosaic mexico virus']"
1535,corcyra cephalonica,Arthropod,['enterococcus casseliflavus']
1536,cordyline fruticosa,Higher Plants,"['bacillus anthracis', 'pectobacterium cypripedii', 'bacillus megaterium', 'bacillus subtilis', 'bacillus cereus']"
1537,coregonus albula,Fish,['discocotyle sagittata']
1538,coregonus autumnalis,Fish,"['ichthyocotylurus erraticus', 'diphyllobothrium dendriticum', 'canine distemper virus']"
1539,coregonus lavaretus,Fish,"['saprolegnia parasitica', 'triaenophorus crassus', 'diphyllobothrium dendriticum', 'gyrodactylus lavareti']"
1540,coregonus widegreni,Fish,['diphyllobothrium ditremum']
1541,coreius guichenoti,Fish,['bothriocephalus acheilognathi']
1542,coreoperca whiteheadi,Fish,['dollfustrema vaneyi']
1543,coreopsis auriculata,Higher Plants,['lettuce mosaic virus']
1544,coriandrum sativum,Higher Plants,"['pseudomonas syringae', 'apium virus y']"
1545,cornus florida,Higher Plants,['cherry leaf roll virus']
1546,cornus sanguinea,Higher Plants,['typhlodromus pyri']
1547,coronella austriaca,Reptile,['monocercomonas colubrorum']
1548,coronilla valentina,Higher Plants,"['bruchidius seminarius', 'aphis craccivora']"
1549,corvus brachyrhynchos,Aves,"['eastern equine encephalitis virus', 'west nile virus']"
1550,corvus corax,Aves,['west nile virus']
1551,corvus cornix,Aves,"['chlamydophila psittaci', 'fowlpox virus', 'sarcocystis cornixi', 'west nile virus']"
1552,corvus corone,Aves,"['brachylecithum lobatum', 'haemoproteus danilewskyii', 'proctophyllodes detruncatus', 'avibacterium endocarditidis', 'plasmodium relictum', 'west nile virus']"
1553,corvus frugilegus,Aves,"['west nile virus', 'trypanosoma corvi', 'trypanosoma avium', 'influenza a virus']"
1554,corvus monedula,Aves,"['brachyspira pilosicoli', 'influenza a virus', 'borna disease virus']"
1555,corvus splendens,Aves,['influenza a virus']
1556,corydalus cornutus,Arthropod,"['neorickettsia risticii', 'candida blattae', 'hanseniaspora vineae', 'candida dosseyi', 'candida quercitrusa', 'metschnikowia chrysoperlae', 'candida corydali', 'meyerozyma guilliermondii']"
1557,corydoras ehrhardti,Fish,"['gyrodactylus samirae', 'gyrodactylus superbus', 'gyrodactylus corydori']"
1558,corydoras paleatus,Fish,"['gyrodactylus corydori', 'gyrodactylus superbus']"
1559,corydoras sterbai,Fish,"['mycobacterium gordonae', 'mycobacterium szulgai']"
1560,corylus avellana,Higher Plants,"['pseudomonas syringae', 'pseudomonas savastanoi', 'xanthomonas arboricola', 'kampimodromus aberrans', 'kampimodromus corylosus', 'pseudomonas avellanae', 'neoseiulella tiliarum']"
1561,corylus colurna,Higher Plants,['xanthomonas arboricola']
1562,corylus maxima,Higher Plants,['xanthomonas arboricola']
1563,corymbia calophylla,Higher Plants,['quambalaria cyanescens']
1564,corymbia citriodora,Higher Plants,['xanthomonas dyei']
1565,corymbia ficifolia,Higher Plants,['quambalaria cyanescens']
1566,corymbia flavescens,Higher Plants,['lasiodiplodia theobromae']
1567,corynorhinus townsendii,Mammal,['rabies virus']
1568,coryphaena hippurus,Fish,"['kudoa thyrsites', 'tentacularia coryphaenae', 'dinurus longisinus']"
1569,coryphaenoides armatus,Fish,['grillotia rowei']
1570,coryphaenoides guentheri,Fish,['lepidapedon sommervillae']
1571,coryphaenoides rupestris,Fish,"['myxidium coryphaenoideum', 'auerbachia pulchra']"
1572,coryphospingus cucullatus,Aves,['amblyomma tigrinum']
1573,cosmopterix pulchrimella,Arthropod,"['pnigalio soemius', 'ratzeburgiola incompleta', 'necremnus tidius']"
1574,costelytra zealandica,Arthropod,"['yersinia frederiksenii', 'serratia proteamaculans', 'staphylococcus pasteuri', 'obesumbacterium proteus', 'hafnia alvei', 'pectobacterium carotovorum', 'pseudomonas stutzeri']"
1575,cotesia flavipes,Arthropod,['wolbachia pipientis']
1576,cotesia glomerata,Arthropod,['cotesia glomerata bracovirus']
1577,cotesia rubecula,Arthropod,['cotesia rubecula bracovirus']
1578,cotesia vestalis,Arthropod,['rhizopus oryzae']
1579,cottus gobio,Fish,['pomphorhynchus laevis']
1580,cottus poecilopus,Fish,"['gyrodactylus mariannae', 'gyrodactylus hrabei']"
1581,coturnix coturnix,Aves,"['goniodes astrocephalus', 'fuhrmannetta malakartis']"
1582,coturnix japonica,Aves,"['influenza a virus', 'duck adenovirus a', 'escherichia coli', 'gallid herpesvirus 2', 'cryptosporidium baileyi', 'newcastle disease virus', 'cryptosporidium parvum']"
1583,couratari stellata,Higher Plants,['neobaryssinus marianae']
1584,couroupita guianensis,Higher Plants,['bacillus megaterium']
1585,cracticus tibicen,Aves,"['escherichia albertii', 'porrocaecum streperae', 'syngamus trachea']"
1586,crangonyx pseudogracilis,Arthropod,['fibrillanosema crangonycis']
1587,crassocephalum crepidioides,Higher Plants,['alternanthera yellow vein virus']
1588,crassostrea ariakensis,Mollusca,['marteilioides chungmuensis']
1589,crassostrea corteziensis,Mollusca,"['perkinsus marinus', 'vibrio hepatarius', 'vibrio orientalis', 'vibrio parahaemolyticus']"
1590,crassostrea gigas,Mollusca,"['vibrio kanaloae', 'vibrio alginolyticus', 'pseudoalteromonas atlantica', 'vibrio campbellii', 'ostreid herpesvirus 1', 'formosa crassostrea', 'marteilioides chungmuensis', 'vibrio tasmaniensis', 'nocardia crassostreae', 'pseudoperkinsus tapetis', 'vibrio chagasii', 'vibrio owensii', 'vibrio splendidus', 'vibrio sinaloensis', 'mikrocytos mackini', 'gymnophalloides seoi', 'vibrio communis', 'vibrio pomeroyi', 'vibrio rotiferianus', 'vibrio natriegens', 'vibrio crassostreae', 'vibrio gigantis', 'perkinsus marinus', 'vibrio aestuarianus', 'vibrio cyclitrophicus', 'vibrio lentus']"
1591,crassostrea rivularis,Mollusca,['norwalk virus']
1592,crassostrea virginica,Mollusca,"['pseudomonas stutzeri', 'haplosporidium nelsoni', 'perkinsus marinus', 'roseovarius crassostreae', 'haplosporidium costale']"
1593,crataegus monogyna,Higher Plants,['erwinia amylovora']
1594,crataegus orientalis,Higher Plants,['leuconostoc mesenteroides']
1595,cratogeomys estor,Rodent,"['geomydoecus coronadoi', 'geomydoecus perotensis']"
1596,cratogeomys fulvescens,Rodent,"['geomydoecus veracruzensis', 'geomydoecus fulvescens']"
1597,cratogeomys fumosus,Rodent,['geomydoecus wernecki']
1598,cratogeomys merriami,Rodent,"['geomydoecus mexicanus', 'geomydoecus traubi', 'geomydoecus coronadoi']"
1599,creadion carunculatus,Aves,['fowlpox virus']
1600,crenicichla lepidota,Fish,['calyptospora spinosa']
1601,crenimugil crenilabis,Fish,"['crusziella formosa', 'paucivitellosus fragilis']"
1602,crenomytilus grayanus,Mollusca,['cobetia marina']
1603,crepidiastrum lanceolatum,Higher Plants,['bemisia tabaci']
1604,crepis vesicaria,Higher Plants,['tephritis matricariae']
1605,cribrochalina vasculum,Porifera,['epizoanthus cutressi']
1606,cricetomys gambianus,Rodent,"['listrophoroides cricetomys', 'listrophoroides aethiopicus']"
1607,cricetulus barabensis,Rodent,"['catenotaenia cricetuli', 'seoul virus', 'tick-borne encephalitis virus']"
1608,cricetus cricetus,Domestic,['trypanosoma rabinowitschae']
1609,criniger barbatus,Aves,['myrsidea chesseri']
1610,cristaria plicata,Mollusca,"['unionicola arcuata', 'unionicola ischyropalpus', 'unionicola agilex']"
1611,cristatella mucedo,Bryozoa,"['tetracapsuloides bryosalmonae', 'buddenbrockia plumatellae', 'pseudonosema cristatellae']"
1612,crocidura attenuata,Mammal,['ancistroplax crocidurae']
1613,crocidura leucodon,Mammal,"['borna disease virus', 'rubenstrema exasperatum']"
1614,crocidura russula,Mammal,['hantaan virus']
1615,crocodylus johnsoni,Reptile,['griphobilharzia amoena']
1616,crocodylus niloticus,Reptile,"['mycoplasma crocodyli', 'trypanosoma grayi', 'trichinella zimbabwensis']"
1617,crocodylus porosus,Reptile,"['trichinella papuae', 'dermatophilus crocodyli']"
1618,crocus sativus,Higher Plants,"['burkholderia gladioli', 'bean yellow mosaic virus']"
1619,crocus vernus,Higher Plants,['aphelenchoides subtenuis']
1620,crocuta crocuta,Mammal,"['canine distemper virus', 'rabies virus', 'feline immunodeficiency virus']"
1621,cromileptes altivelis,Fish,"['pearsonellum pygmaeus', 'mitotrema anthostomatum', 'vibrio harveyi']"
1622,crossoptilon crossoptilon,Aves,['plasmodium juxtanucleare']
1623,crotalaria juncea,Higher Plants,"['papaya leaf curl virus', 'curvularia lunata']"
1624,crotalaria medicaginea,Higher Plants,['lasiodiplodia theobromae']
1625,crotalaria pallida,Higher Plants,"['burkholderia cenocepacia', 'agrobacterium tumefaciens', 'bradyrhizobium japonicum', 'bradyrhizobium yuanmingense', 'rhizobium leguminosarum']"
1626,crotalaria podocarpa,Higher Plants,['conicobruchus strangulatus']
1627,crotalaria spectabilis,Higher Plants,"['colletotrichum dematium', 'bradyrhizobium elkanii', 'bradyrhizobium japonicum']"
1628,crotalus durissus,Reptile,['trypanosoma cascavelli']
1629,crotalus horridus,Reptile,['schizangiella serpentis']
1630,crotalus scutulatus,Reptile,['reptilian orthoreovirus']
1631,croton bonplandianus,Higher Plants,['croton yellow vein mosaic virus']
1632,croton malvaviscifolius,Higher Plants,['pepper golden mosaic virus']
1633,cryphonectria parasitica,Fungi,"['cryphonectria hypovirus 1', 'mycoreovirus 1', 'cryphonectria hypovirus 3', 'mycoreovirus 2']"
1634,cryptocercus clevelandi,Arthropod,['blattabacterium clevelandi']
1635,cryptocercus darwini,Arthropod,['blattabacterium punctulatus']
1636,cryptocercus garciai,Arthropod,['blattabacterium punctulatus']
1637,cryptocercus punctulatus,Arthropod,"['eucomonympha imla', 'blattabacterium punctulatus', 'urinympha talea', 'trichonympha acuta', 'desulfovibrio termitidis', 'saccinobaculus ambloaxostylus', 'barbulanympha ufalula']"
1638,cryptocercus relictus,Arthropod,['blattabacterium relictus']
1639,cryptocercus wrighti,Arthropod,['blattabacterium punctulatus']
1640,cryptoheros spilurus,Fish,['crassicutis cichlasomae']
1641,cryptomeria fortunei,Higher Plants,['rahnella aquatilis']
1642,cryptomeria japonica,Higher Plants,['resseliella odai']
1643,cryptopygus antarcticus,Arthropod,['paecilomyces anatarcticus']
1644,cryptotermes brevis,Arthropod,['calonympha grassii']
1645,cryptotermes cavifrons,Arthropod,"['caduceia versatilis', 'snyderella tabogae']"
1646,cryptotermes domesticus,Arthropod,"['foaina nana', 'stephanonympha nelumbium']"
1647,cryptothylax greshoffii,Amphibian,['chlamydophila pneumoniae']
1648,crypturellus parvirostris,Aves,['strongylocotes orbicularis']
1649,crypturellus undulatus,Aves,"['strongylocotes fimbriatus', 'pseudophilopterus hirsutus']"
1650,crypturgus cinereus,Arthropod,['grosmannia piceiperda']
1651,ctenocephalides canis,Arthropod,['rickettsia felis']
1652,ctenocephalides felis,Arthropod,"['rickettsia rickettsii', 'bartonella henselae', 'bartonella clarridgeiae', 'rickettsia felis', 'dipylidium caninum', 'wolbachia pipientis']"
1653,ctenopharyngodon idella,Fish,"['citrobacter braakii', 'bothriocephalus acheilognathi', 'cedecea davisae', 'aquareovirus c', 'aeromonas veronii', 'aeromonas sobria', 'aquareovirus g', 'enterobacter amnigenus', 'raoultella ornithinolytica', 'dactylogyrus lamellatus', 'aeromonas hydrophila', 'camallanus cotti', 'aeromonas caviae', 'sinergasilus major', 'zschokkella nova', 'saprolegnia ferax', 'yersinia ruckeri', 'spring viraemia of carp virus']"
1654,ctenophthalmus pseudagyrtes,Arthropod,['bartonella vinsonii']
1655,ctenosaura similis,Reptile,['amblyomma scutatum']
1656,cuculus canorus,Aves,['plasmodium cuculus']
1657,cucumis anguria,Higher Plants,"['tobacco streak virus', 'zucchini yellow mosaic virus']"
1658,cucumis maderaspatanus,Higher Plants,['zucchini yellow mosaic virus']
1659,cucumis melo,Higher Plants,"['bemisia tabaci', 'erwinia tracheiphila', 'papaya ringspot virus', 'squash leaf curl china virus', 'zucchini yellow mosaic virus', 'cucurbit aphid-borne yellows virus', 'pseudomonas viridiflava', 'acetobacter tropicalis', 'zucchini yellow fleck virus', 'melon necrotic spot virus', 'kyuri green mottle mosaic virus', 'acidovorax citrulli', 'liriomyza trifolii', 'acetobacter indonesiensis', 'watermelon mosaic virus', 'tomato yellow leaf curl sardinia virus', 'fusarium incarnatum', 'tomato yellow leaf curl virus', 'tomato leaf curl new delhi virus', 'cucumber green mottle mosaic virus', 'cucurbit yellow stunting disorder virus', 'cucumber mosaic virus', 'melon yellowing-associated virus', 'aphis gossypii', 'watermelon silver mottle virus']"
1660,cucumis sativus,Higher Plants,"['thrips tabaci', 'liriomyza sativae', 'melon necrotic spot virus', 'pseudomonas amygdali', 'leuconostoc pseudomesenteroides', 'prunus necrotic ringspot virus', 'bacillus subtilis', 'cucurbit yellow stunting disorder virus', 'cucumber necrosis virus', 'curvularia lunata', 'cucumber vein yellowing virus', 'tomato leaf curl new delhi virus', 'cucurbit aphid-borne yellows virus', 'liriomyza trifolii', 'pseudomonas fluorescens', 'thrips palmi', 'bemisia tabaci', 'aphis gossypii', 'pectobacterium carotovorum', 'lysinibacillus fusiformis', 'pectobacterium cypripedii', 'watermelon mosaic virus', 'tomato yellow leaf curl virus', 'zucchini yellow mosaic virus', 'colletotrichum gloeosporioides', 'cucumber green mottle mosaic virus', 'pediococcus pentosaceus', 'lactobacillus plantarum', 'streptococcus thermophilus', 'weissella paramesenteroides', 'weissella cibaria', 'tomato yellow leaf curl sardinia virus', 'cucumber mosaic virus', 'peyronellaea glomerata', 'papaya ringspot virus']"
1661,cucurbita argyrosperma,Higher Plants,"['melon chlorotic leaf curl virus', 'pepper golden mosaic virus']"
1662,cucurbita foetidissima,Higher Plants,['diabrotica virgifera']
1663,cucurbita maxima,Higher Plants,"['colletotrichum gloeosporioides', 'tomato spotted wilt virus', 'beet mild curly top virus', 'papaya ringspot virus', 'watermelon mosaic virus', 'bemisia tabaci', 'zucchini yellow mosaic virus']"
1664,cucurbita moschata,Higher Plants,"['watermelon mosaic virus', 'watermelon chlorotic stunt virus', 'squash leaf curl china virus', 'trialeurodes vaporariorum', 'melon chlorotic leaf curl virus', 'squash mosaic virus', 'zucchini yellow mosaic virus', 'bactrocera cucurbitae', 'papaya ringspot virus', 'cucurbit aphid-borne yellows virus', 'squash leaf curl philippines virus', 'bemisia tabaci']"
1665,cucurbita pepo,Higher Plants,"['liriomyza trifolii', 'bemisia tabaci', 'moroccan watermelon mosaic virus', 'watermelon mosaic virus', 'zucchini yellow mosaic virus', 'papaya ringspot virus', 'cucumber mosaic virus', 'beet mild curly top virus', 'squash vein yellowing virus', 'squash leaf curl china virus', 'squash leaf curl virus', 'cucurbit aphid-borne yellows virus', 'serratia marcescens', 'tobacco streak virus']"
1666,culex annulirostris,Arthropod,"['japanese encephalitis virus', 'west nile virus', 'murray valley encephalitis virus', 'barmah forest virus', 'sindbis virus']"
1667,culex annulus,Arthropod,['banna virus']
1668,culex antennatus,Arthropod,['rift valley fever virus']
1669,culex bitaeniorhynchus,Arthropod,"['sindbis virus', 'japanese encephalitis virus', 'turlock virus', 'west nile virus']"
1670,culex coronator,Arthropod,"['st. louis encephalitis virus', 'venezuelan equine encephalitis virus', 'rio negro virus']"
1671,culex declarator,Arthropod,['st. louis encephalitis virus']
1672,culex erraticus,Arthropod,['eastern equine encephalitis virus']
1673,culex gelidus,Arthropod,"['bunyamwera virus', 'japanese encephalitis virus']"
1674,culex interrogator,Arthropod,['west nile virus']
1675,culex modestus,Arthropod,"['california encephalitis virus', 'banna virus', 'japanese encephalitis virus', 'wolbachia pipientis']"
1676,culex mollis,Arthropod,['venezuelan equine encephalitis virus']
1677,culex nigripalpus,Arthropod,"['eastern equine encephalitis virus', 'st. louis encephalitis virus', 'west nile virus']"
1678,culex pilosus,Arthropod,['culicosporella lunata']
1679,culex pipiens,Arthropod,"['west nile virus', 'wolbachia pipientis', 'dirofilaria immitis', 'st. louis encephalitis virus', 'trypanosoma avium', 'spironema culicis', 'lysinibacillus sphaericus', 'banna virus', 'japanese encephalitis virus', 'usutu virus', 'rift valley fever virus']"
1680,culex poicilipes,Arthropod,['rift valley fever virus']
1681,culex portesi,Arthropod,"['caraparu virus', 'venezuelan equine encephalitis virus']"
1682,culex pseudovishnui,Arthropod,"['japanese encephalitis virus', 'west nile virus', 'bunyamwera virus']"
