Cargo,Carrier_id
chryseobacterium balustinum,"[3213, 4686]"
chryseobacterium indologenes,"[446, 2813]"
chryseobacterium kwangyangense,[1523]
chryseobacterium piscicola,"[4058, 5237]"
chryseobacterium shigense,"[1777, 4058]"
chryseobacterium soldanellicola,[1047]
chryseobacterium taeanense,[3220]
chryseobacterium taichungense,[4130]
chrysocharis nautius,[5883]
chrysochus asclepiadeus,[6193]
chrysochus auratus,[508]
chrysosporium guarroi,[2897]
chrysosporium synchronum,"[1062, 1063]"
chthamalophilus delagei,[729]
cichlidogyrus acerbus,"[5273, 5274]"
cichlidogyrus aegypticus,"[5872, 5873]"
cichlidogyrus agnesi,[5872]
cichlidogyrus arthracanthus,[5871]
cichlidogyrus bilongi,[5872]
cichlidogyrus cubitus,[5872]
cichlidogyrus digitatus,[5872]
cichlidogyrus ergensi,[5872]
cichlidogyrus falcifer,[2716]
cichlidogyrus flexicolpos,[5872]
cichlidogyrus gallus,[5872]
cichlidogyrus halli,"[4094, 5273, 5274]"
cichlidogyrus longicirrus,[2716]
cichlidogyrus thurstonae,[4094]
cichlidogyrus tiberianus,[5872]
cichlidogyrus tilapiae,"[2716, 5273]"
cinara arizonica,"[4582, 4588, 4595]"
cinara atlantica,[4601]
cinara atra,[4560]
cinara caliente,[4576]
cinara coloradensis,[4523]
cinara contortae,[4553]
cinara cronartii,[4605]
cinara curvipes,[11]
cinara edulis,"[4560, 4576]"
cinara hottesi,[4523]
cinara juniperi,[2997]
cinara juniperivora,[3000]
cinara longipennis,[9]
cinara murrayanae,[4553]
cinara nigra,[4553]
cinara pergandei,[4548]
cinara pinivora,"[4601, 4605]"
cinara ponderosae,"[4568, 4588]"
cinara schwarzii,"[4568, 4588]"
cinara strobi,[4598]
cinara terminalis,"[4557, 4560, 4576]"
cinara tujafilina,[4663]
cinara villosa,"[4563, 4597]"
cinara wahtolca,"[4560, 4568, 4576]"
cinara watsoni,[4605]
cirrophthirius testudinarius,[5068]
cirrospilus diallus,"[4491, 5883]"
cirrospilus lyncus,"[4493, 5883]"
cirrospilus pictus,[5883]
cirrospilus vittatus,[3255]
citrobacter amalonaticus,[4463]
citrobacter braakii,"[1098, 1653, 1683, 1819, 2813, 4058]"
citrobacter farmeri,[6281]
citrobacter freundii,"[446, 498, 594, 1683, 1767, 2181, 2497, 2813, 3420, 3752, 4321, 6206]"
citrobacter gillenii,"[594, 2710, 2813, 4058]"
citrobacter koseri,"[2813, 4463]"
citrobacter murliniae,"[498, 3757]"
citrobacter rodentium,[2813]
citrobacter sedlakii,[4194]
citrobacter werkmanii,[498]
citrobacter youngae,"[3903, 3927]"
citrus bark cracking viroid,[1432]
citrus bent leaf viroid,"[1415, 1432]"
citrus dwarfing viroid,"[1413, 1415, 1423, 1431, 1432, 1433, 1435]"
citrus exocortis viroid,"[1226, 1413, 1415, 1423, 1426, 1432, 5484, 5485, 5499, 6206]"
citrus leaf blotch virus,"[1423, 1432, 1433, 1434, 2441]"
citrus leprosis virus c,"[1432, 1501, 2572, 3468, 5726]"
citrus psorosis virus,"[1414, 1432]"
citrus tristeza virus,"[1413, 1414, 1416, 1417, 1418, 1420, 1421, 1422, 1423, 1424, 1425, 1426, 1427, 1428, 1431, 1432, 1433, 1434]"
citrus variegation virus,"[1414, 1415, 1423, 1427, 1432]"
citrus viroid vi,[1942]
cjd agent,[2813]
cladophialophora bantiana,"[2326, 2813]"
cladophialophora boppii,[4408]
cladophialophora carrionii,"[2813, 3049]"
cladophialophora devriesii,[2813]
cladorrhinum bulbillosum,[2813]
cladosporium bruhnei,[2813]
cladosporium cladosporioides,"[1062, 1063, 1894, 2592, 2813, 2976, 3583, 4097]"
cladosporium cucumerinum,[2813]
cladosporium macrocarpum,[228]
cladosporium oxysporum,[2813]
cladosporium sphaerospermum,"[2813, 3583]"
cladosporium tenuissimum,"[228, 2071]"
cladosporium velox,[2813]
classical swine fever virus,"[854, 1052, 4762, 5719, 5720]"
clavibacter michiganensis,"[3520, 5485, 5486, 5488, 5499, 6010, 6281]"
clavinema parasiluri,[5441]
clavispora lusitaniae,[2813]
clavogalea trachinoti,[5901]
cleidodiscus pricei,[316]
clinostomum complanatum,"[743, 745, 2813, 3173, 5602]"
clinostomum giganticum,[1281]
clinostomum marginatum,"[294, 578, 925, 2207, 3173, 3645, 3646, 3879, 3956, 4352, 4538]"
clinostomum phalacrocoracis,"[577, 4094]"
clinostomum piscidium,[1484]
clistobothrium carcharodoni,[1111]
clistobothrium montaukensis,[2961]
clitoria virus y,[1453]
cloacibacillus evryensis,[2813]
cloacibacterium normanense,"[1078, 5974]"
cloacina caenis,"[4381, 4382, 4383, 4385]"
cloacina cloelia,[4384]
cloacina communis,[3433]
cloacina ernabella,[4385]
cloacina hydriformis,[3429]
cloacina pearsoni,"[4381, 4382, 4383, 4385]"
cloacina robertsi,"[4381, 4382, 4383, 4384, 4385]"
cloacitrema narrabeenensis,[754]
clonorchis sinensis,"[1062, 1063, 2326, 2813, 4791, 5719]"
clostridium baratii,[2813]
clostridium bifermentans,[2063]
clostridium botulinum,"[359, 854, 1063, 1072, 2161, 2659, 2813, 3879, 4058, 4152, 5719, 5720]"
clostridium butyricum,"[2063, 2813]"
clostridium celerecrescens,"[2063, 2813]"
clostridium chauvoei,"[854, 2161, 4152]"
clostridium clostridioforme,[2813]
clostridium difficile,"[1062, 1063, 2161, 2813, 3613, 5719, 5720]"
clostridium glycolicum,[2063]
clostridium haemolyticum,[854]
clostridium hiranonis,"[1062, 1063, 2813]"
clostridium histolyticum,"[854, 2813, 5719, 5720]"
clostridium hylemonae,[2813]
clostridium innocuum,"[2813, 3749]"
clostridium lactatifermentans,[2497]
clostridium lituseburense,[2063]
clostridium novyi,"[854, 2161, 2497, 2813, 4152, 5719]"
clostridium perfringens,"[271, 854, 1063, 1072, 1075, 2161, 2326, 2497, 2813, 3555, 4152, 5719, 5720]"
clostridium piliforme,"[1063, 2161, 3749, 4124, 5061]"
clostridium ramosum,[2813]
clostridium septicum,"[854, 2497, 2813, 3555, 4152, 5719]"
clostridium sordellii,"[854, 2813, 4152]"
clostridium sporogenes,"[854, 2813, 5719]"
clostridium tertium,[5719]
clostridium tetani,"[854, 2161, 2813, 4152, 5719]"
clover yellow mosaic virus,[6165]
clover yellow vein virus,"[321, 3152, 4420, 4634, 5975, 6165]"
cobetia marina,[1602]
coccidioides immitis,"[1063, 1072, 2161, 2326, 2813, 5719]"
coccidioides posadasii,"[2813, 3059]"
coccomyxa gobiodoni,[2582]
coccomyxa jirilomi,[752]
coccus viridis,"[1432, 1479]"
cochliobolus australiensis,"[897, 1328, 2813, 2986, 4130]"
cochliobolus cynodontis,[2813]
cochliobolus geniculatus,"[2813, 4130, 6281, 6309, 6310, 6311]"
cochliobolus hawaiiensis,[2813]
cochliobolus lunatus,[2813]
cochliobolus spicifer,[2813]
cochliobolus verruculosus,"[1271, 2813, 4298, 6010]"
cochlonema euryblastum,[5845]
cochlosoma anatis,[455]
cocksfoot mottle virus,"[1315, 1778, 2332, 3282, 4697, 4700]"
cohnella phaseoli,[4420]
cohnella thermotolerans,[4420]
cokeromyces recurvatus,[2813]
cole latent virus,[597]
colepismatophila watsonae,[3167]
coleus blumei viroid 1,[5508]
coleus blumei viroid 2,[5508]
coleus blumei viroid 3,[5508]
colilipeurus colius,[6081]
colimenopon urocolius,[6081]
colinicola docophoroides,[1022]
colletotrichum coccodes,"[25, 247, 1078, 2446, 4825, 5485, 5499]"
colletotrichum dematium,"[167, 326, 1627, 2191, 2524, 2588, 2813, 2821, 2841, 3520, 3935, 4075, 4285, 4377, 4390, 4419, 4517, 4730, 4825, 5073, 5282, 5499, 5566, 5994, 6206, 6228]"
colletotrichum fuscum,[2976]
colletotrichum gloeosporioides,"[91, 155, 247, 419, 420, 421, 540, 547, 580, 607, 613, 699, 713, 732, 749, 998, 1000, 1040, 1049, 1050, 1078, 1123, 1136, 1139, 1151, 1359, 1413, 1414, 1421, 1423, 1426, 1431, 1432, 1466, 1479, 1480, 1519, 1660, 1663, 1717, 1743, 1747, 1792, 1816, 1830, 1892, 1928, 1935, 1941, 1942, 1989, 2052, 2064, 2077, 2179, 2193, 2256, 2303, 2347, 2440, 2446, 2451, 2570, 2615, 2712, 2761, 2804, 2813, 2822, 2826, 2828, 2858, 2869, 2985, 2986, 2992, 3047, 3075, 3257, 3459, 3474, 3475, 3730, 3752, 3958, 4038, 4133, 4170, 4298, 4374, 4422, 4444, 4468, 4517, 4619, 4754, 4781, 4882, 4978, 4997, 5001, 5090, 5240, 5262, 5276, 5277, 5278, 5300, 5471, 5479, 5481, 5485, 5499, 5566, 5594, 5763, 5799, 5803, 5847, 5878, 5970, 6006, 6072, 6115, 6144, 6198, 6199, 6201, 6206]"
colletotrichum truncatum,[2813]
collinsella aerofaciens,[2813]
collinsella intestinalis,[2813]
colobothea macularis,[2634]
coloceras chinense,"[5673, 5674, 5681]"
coloceras clypeatum,[4413]
coloceras damicorne,[1496]
coloceras doreyanus,"[3436, 3437]"
coloceras furcatum,[3294]
coloceras grande,[4415]
coloceras hilli,[5674]
coloceras hoogstraali,[5677]
coloceras laticlypeatus,[6039]
coloceras neoindicum,[1267]
coloceras savoi,[1494]
coloceras setosum,[5937]
coloceras stephanii,[1268]
coloceras theresae,[6040]
colombian datura virus,[907]
colpocephalum turbinatum,[975]
columbicola adamsi,"[4293, 4294, 4295]"
columbicola angustus,[4415]
columbicola bacillus,[5674]
columbicola baculoides,[6288]
columbicola beccarii,[2495]
columbicola claviformis,[1496]
columbicola clayae,"[5933, 5937]"
columbicola claytoni,[2027]
columbicola columbae,[1495]
columbicola drowni,"[3626, 3628]"
columbicola elbeli,"[5934, 5935, 5936]"
columbicola exilicornis,[4413]
columbicola extinctus,[4290]
columbicola fortis,[4145]
columbicola gracilicapitis,"[3188, 3190, 3192]"
columbicola gymnopeliae,[3627]
columbicola macrourae,"[975, 1497, 2536, 3190, 3192, 4292, 4296, 6285, 6287, 6288]"
columbicola malenkaeae,[2026]
columbicola mckeani,[4022]
columbicola meinertzhageni,[5678]
columbicola paradoxus,[3294]
columbicola passerinae,"[1442, 1498, 1499]"
columbicola streptopeliae,[5675]
columbicola theresae,"[4035, 5673, 5679, 5681]"
columbicola timmermanni,[3191]
columbicola triangularis,"[4293, 6286]"
columbicola veigasimoni,[4414]
columbicola waggermanni,[4291]
columbicola waltheri,[2535]
columbicola wecksteini,[4932]
columbicola wolffhuegeli,[2025]
columbicola xavieri,[4931]
columbid herpesvirus 1,[74]
columnea latent viroid,"[5360, 5361, 5362, 5485, 5497]"
comamonas testosteroni,[2813]
comptoniella vannoorti,[2350]
conchiformibius kuhniae,[2326]
concinnocotyla australensis,[3873]
concinnum ten,[3494]
congocoptes sphyrapicicola,[5577]
conicobruchus strangulatus,[1626]
conidiobolus coronatus,"[2161, 2813]"
conidiobolus firmipilleus,[4694]
conidiobolus incongruus,[2813]
conidiobolus lamprauges,"[2813, 4152]"
conidiobolus obscurus,"[5137, 5467]"
coniothyrium fuckelii,"[257, 1050, 2451, 4771]"
conotelus mexicanus,[2935]
contarinia maculipennis,"[1078, 2985, 3707, 4693, 5485]"
contarinia okadai,[1419]
contracaecum bioccai,[4317]
contracaecum eudyptulae,[2238]
contracaecum margolisi,[6278]
contracaecum microcephalum,[4403]
contracaecum micropapillatum,[4318]
contracaecum mirounga,[3695]
contracaecum multipapillatum,"[4314, 4315, 4317]"
contracaecum muraenesoxi,[3353]
contracaecum ogmorhini,"[571, 573, 6278]"
contracaecum osculatum,"[2177, 2476, 2660, 3182, 4450, 4963]"
contracaecum pelagicum,[5573]
contracaecum pyripapillatum,[4314]
contracaecum radiatum,[3182]
contracaecum rudolphii,"[1099, 3646, 3879, 4317, 4398, 4399, 4401]"
contracaecum septentrionale,"[4398, 4401]"
contracaecum spiculigerum,[4803]
conyza phytoplasma,[1518]
cooperia curticei,"[854, 1072, 4152]"
cooperia oncophora,"[854, 4152]"
cooperia pectinata,"[854, 4152]"
cooperia punctata,"[851, 854, 4152]"
cooperia spatulata,[854]
cooperia surnabada,[854]
copiatestes filiferus,[5906]
copidosoma gelechiae,[2580]
coprinellus domesticus,[2813]
coprinellus micaceus,[4416]
coprinopsis cinerea,"[2052, 2615, 2813, 5761]"
coraciacarus americanus,[1465]
coral metagenome,[1950]
corallobothrium fimbriatum,"[2892, 2895]"
corallobothrium parafimbriatum,[315]
corallobothrium solidum,[3452]
corallotaenia intermedia,[315]
corallotaenia minutia,[315]
corchorus golden mosaic virus,[1533]
corchorus yellow spot virus,[1534]
cordyceps bassiana,"[197, 843, 1350, 1457, 1735, 1884, 1895, 1901, 2023, 2070, 2275, 2294, 2494, 2813, 2863, 2864, 2873, 2885, 2953, 2954, 2975, 3178, 3711, 3713, 3937, 4345, 4533, 4722, 5079, 5341, 5394, 5469, 5593]"
cordyceps brongniartii,"[197, 432, 2494, 3379, 3448, 3558, 3578, 3823, 3863]"
cordyceps chlamydosporia,[3577]
cordyceps cicadae,"[2610, 4665]"
cordyceps kyushuensis,[1441]
cordylobia anthropophaga,"[1062, 1063, 2813]"
coriobacterium glomerans,[4970]
cornudiscoides proximus,[3827]
coronocyclus coronatus,[2158]
coronocyclus labiatus,[2158]
coronocyclus labratus,[2158]
coronympha octonaria,[2915]
corynascus kuwaitiensis,[2813]
corynebacterium afermentans,"[2813, 4875]"
corynebacterium amycolatum,"[2813, 3752]"
corynebacterium argentoratense,[2813]
corynebacterium atypicum,[2813]
corynebacterium aurimucosum,[4840]
corynebacterium bovis,"[854, 2813, 3749]"
corynebacterium casei,[4755]
corynebacterium confusum,[893]
corynebacterium diphtheriae,"[893, 2813]"
corynebacterium durum,[2813]
corynebacterium freiburgense,[2813]
corynebacterium jeikeium,[2813]
corynebacterium kroppenstedtii,[2813]
corynebacterium kutscheri,[3733]
corynebacterium macginleyi,[2813]
corynebacterium massiliense,[2813]
corynebacterium mastitidis,[2813]
corynebacterium matruchotii,[2813]
corynebacterium propinquum,[2813]
corynebacterium pseudodiphtheriticum,[2813]
corynebacterium pseudotuberculosis,"[854, 1052, 1072, 2161, 2813, 4152]"
corynebacterium pyruviciproducens,[2813]
corynebacterium renale,"[854, 4152]"
corynebacterium riegelii,[2813]
corynebacterium simulans,[2813]
corynebacterium stationis,[2813]
corynebacterium striatum,[2813]
corynebacterium tuberculostearicum,[2813]
corynebacterium ulcerans,"[1062, 1063, 2326, 2813, 5719]"
corynebacterium urealyticum,[2813]
corynebacterium ureicelerivorans,[2813]
corynebacterium xerosis,"[2813, 5719]"
corynosoma strumosum,[4453]
cosmospora vilior,[2954]
cotesia acuminata,"[2269, 3563, 3566, 3567, 3569, 3570]"
cotesia bignellii,[2265]
cotesia congregata,"[1195, 3473]"
cotesia cynthiae,[2266]
cotesia euphydryas,[2270]
cotesia flavipes,[1309]
cotesia glomerata,"[4531, 4532]"
cotesia glomerata bracovirus,[1576]
cotesia koebelei,[2268]
cotesia melitaearum,"[2265, 2267, 2269, 3563, 3564, 3565, 3566, 3568, 3571]"
cotesia rubecula,[4533]
cotesia rubecula bracovirus,[1577]
cotesia vestalis,[4694]
cotingicola stotzi,[5002]
cotton leaf crumple virus,[2599]
cotton leaf curl bangalore virus,[2]
cotton leaf curl gezira virus,"[2, 224, 1123, 2599]"
cotton leaf curl kokhran virus,"[2570, 2599, 2601]"
cotton leaf curl multan virus,"[2, 1123, 2596, 2599]"
cottontail rabbit papillomavirus,"[4124, 5733]"
cotylogaster basiri,[4711]
cougourdella polycentropi,[4728]
courtella armata,[2403]
courtella bekiliensis,[2393]
courtella hamifera,[2387]
courtella michaloudi,[2345]
cowpea aphid-borne mosaic virus,"[547, 4285, 5395, 6188]"
cowpea golden mosaic virus,[6188]
cowpea mild mottle virus,"[549, 2570, 4420, 6188]"
cowpea mottle virus,[6188]
cowpea severe mosaic virus,[6188]
cowpox virus,"[98, 209, 510, 515, 521, 854, 1026, 1062, 1063, 2161, 2326, 2813, 3059, 3322, 3383, 3648, 3649, 3666, 3749, 3789, 5061]"
coxiella burnetii,"[583, 854, 912, 1072, 1864, 2326, 2649, 2653, 2813, 2831, 2975, 4152, 4351, 5061, 5104, 5112, 5115, 5719]"
craesus alniastri,[257]
craesus septentrionalis,[257]
cranifera cranifera,[795]
craspedonirmus immer,[2509]
craspedorrhynchus hirsutus,[980]
crassicutis archosargi,[567]
crassicutis choudhuryi,[1374]
crassicutis cichlasomae,"[1377, 1378, 1640, 2738, 2739, 4240, 4241, 4380, 6177, 6178, 6179]"
craterostomum acuticaudatum,[2161]
crenosoma mephitidis,[3592]
crenosoma striatum,[2178]
crenosoma vulpis,"[1063, 6212]"
creontiades dilutus,"[1709, 2321, 2599, 3518, 3520, 5053, 5373, 5490, 5724, 6170]"
crepidobothrium eirasi,[4479]
crepidostomum cooperi,"[3174, 4354]"
crepidostomum cornutum,[1232]
crimean-congo hemorrhagic fever virus,"[584, 854, 1072, 2813, 2831, 2832, 2833, 2835, 2836, 2839, 4152, 5061, 5102, 5104, 5112]"
crisicoccus seruratus,"[1942, 4977]"
crithidia bombi,[838]
crithidia mellificae,"[495, 498]"
crocebacterium ilecola,[5881]
cronobacter malonaticus,[2813]
cronobacter sakazakii,"[239, 446, 1072, 1151, 1771, 2064, 2355, 2813, 2981, 3075, 3469, 4130, 4614, 5208, 5668, 5974]"
cronobacter turicensis,[2813]
crossobothrium longicolle,[5339]
crossogaster stigma,[2364]
croton yellow vein mosaic virus,"[1044, 1631, 1720, 2987, 5052]"
crusziella formosa,[1601]
cryphonectria hypovirus 1,[1633]
cryphonectria hypovirus 3,[1633]
cryptendoxyla hypophloia,[2813]
cryptobacterium curtum,[2813]
cryptobia helicis,[2710]
cryptococcus bestiolae,[1510]
cryptococcus curvatus,[2813]
cryptococcus dejecticola,[1510]
cryptococcus flavescens,"[1885, 4142]"
cryptococcus gattii,"[98, 1072, 2813]"
cryptococcus laurentii,[2813]
cryptococcus luteolus,"[1885, 4142]"
cryptococcus neoformans,"[854, 1063, 1072, 1495, 2161, 2211, 2326, 2813, 3749, 4152, 5719, 5720]"
cryptococcus oeirensis,[1885]
cryptococcus victoriae,[4142]
cryptocotyle lingua,[3271]
cryptosiphum artemisiae,[611]
cryptosporidium andersoni,"[854, 912, 1051, 1052, 1072, 2813, 3613, 4152]"
cryptosporidium baileyi,"[359, 455, 1529, 1582, 2312, 2497, 5413, 5694]"
cryptosporidium bovis,"[850, 854, 1072, 2813, 4152]"
cryptosporidium canis,"[1061, 1062, 1063, 2813]"
cryptosporidium cuniculus,"[2813, 4124]"
cryptosporidium fayeri,"[2813, 3429, 4351, 4386, 4416]"
cryptosporidium felis,"[2326, 2328, 2813]"
cryptosporidium galli,"[3988, 4131, 5386, 5831]"
cryptosporidium hominis,"[854, 1072, 2813, 3399, 4152]"
cryptosporidium meleagridis,"[1062, 1063, 2497, 2813, 3555, 3988, 4460, 4887]"
cryptosporidium molnari,"[3412, 5551]"
cryptosporidium muris,"[520, 854, 1051, 1052, 1062, 1063, 2326, 2543, 2813, 3749, 4091, 4222, 4702, 4798, 4962, 4980, 5061, 5062, 5694, 5719, 5767, 5788]"
cryptosporidium parvum,"[359, 515, 521, 854, 912, 1062, 1063, 1072, 1169, 1223, 1224, 1275, 1295, 1582, 1980, 2028, 2158, 2161, 2178, 2215, 2326, 2462, 2492, 2497, 2794, 2813, 2897, 3057, 3059, 3061, 3090, 3399, 3403, 3435, 3555, 3649, 3749, 3765, 3766, 3787, 3789, 3831, 3988, 4124, 4152, 4221, 4222, 4231, 4416, 4421, 4803, 4900, 5369, 5719, 5720, 5914, 6278]"
cryptosporidium ryanae,[854]
cryptosporidium saurophilum,"[806, 2215, 2244, 2729, 4222]"
cryptosporidium serpentis,"[1323, 2215, 2469, 3067, 3068, 4222, 6128]"
cryptosporidium struthionis,[5694]
cryptosporidium suis,"[5719, 5720]"
cryptosporidium ubiquitum,"[854, 1072, 1476, 2813, 3749, 4152]"
cryptosporidium wrairi,[1165]
cryptosporidium xiaoi,"[1072, 4152]"
ctenocalanus citer,[2258]
ctenocephalides felis,"[2326, 6212]"
ctenotaenia marmotae,[3486]
cuclotogaster hopkinsi,[2447]
cuculicola atopus,[4519]
cucumber green mottle mosaic virus,"[1412, 1659, 1660, 3047]"
cucumber mosaic virus,"[192, 239, 547, 750, 770, 803, 890, 892, 893, 999, 1078, 1081, 1151, 1182, 1183, 1355, 1357, 1459, 1502, 1659, 1660, 1665, 1748, 1815, 1819, 1928, 1951, 1962, 1972, 2044, 2537, 2558, 2570, 2868, 2908, 2911, 2986, 3045, 3133, 3160, 3227, 3228, 3286, 3335, 3470, 3500, 3611, 3706, 3707, 3752, 3753, 3840, 3906, 3931, 3935, 4019, 4157, 4285, 4348, 4420, 4512, 4513, 4518, 4543, 4614, 4617, 4618, 4619, 4634, 4827, 5052, 5066, 5071, 5089, 5147, 5148, 5174, 5250, 5419, 5484, 5485, 5488, 5499, 5584, 5749, 5776, 5777, 6123, 6126, 6127, 6182, 6188, 6192, 6292]"
cucumber necrosis virus,"[1660, 3046, 5485]"
cucumber vein yellowing virus,[1660]
cucurbit aphid-borne yellows virus,"[764, 1412, 1659, 1660, 1664, 1665, 2039, 3046, 3329, 3707]"
cucurbit yellow stunting disorder virus,"[1412, 1659, 1660]"
culex quinquefasciatus,[2813]
culicospora magna,[1684]
culicosporella lunata,[1678]
cunninghamella bertholletiae,[2813]
cunninghamella echinulata,[4427]
cunninghamella elegans,[4427]
cupriavidus basilensis,[2813]
cupriavidus metallidurans,[5798]
cupriavidus pauculus,[2045]
cupriavidus respiraculi,[4186]
cupriavidus taiwanensis,"[2813, 3677, 3680, 3681, 4186]"
curtobacterium citreum,"[120, 5154, 5798]"
curtobacterium flaccumfaciens,"[120, 770, 983, 1078, 1777, 2263, 3927, 5798, 6025]"
curtobacterium luteum,"[4619, 5798]"
curvularia brachyspora,[2615]
curvularia clavata,[343]
curvularia lunata,"[1490, 1623, 1660, 2046, 2047, 2446, 2679, 2813, 3327, 3375, 4130, 4897, 5405, 5499, 5542, 5761, 5847, 6010, 6281]"
curvularia senegalensis,[6010]
cuterebra baeri,[269]
cyamus boopis,[3530]
cyamus ceti,[2201]
cyamus erraticus,"[2211, 2212, 2213]"
cyamus gracilis,"[2211, 2212]"
cyamus kessleri,[2201]
cyamus ovalis,"[854, 2211, 2212, 2213]"
cyamus scammoni,[2201]
cyanobacterium bbt,[1950]
cyathocephalus truncatus,[5238]
cyathostomum catinatum,[2161]
cyathostomum labiatum,[2161]
cyathostomum pateratum,[2161]
cyathostomum tetracanthum,[2161]
cyberlindnera jadinii,[2813]
cycas necrotic stunt virus,[4184]
cyclocoelum mutabile,[1006]
cyclodontostomum purvisi,[5063]
cycloposthium bipalmatum,[2161]
cyclospora cayetanensis,[2813]
cycnia oregonensis,[508]
cycnia tenera,[630]
cydia pomonella granulovirus,[1735]
cydia succedana,"[1776, 2520, 2521, 3316, 6050]"
cylicocyclus ashworthi,[2161]
cylicocyclus insigne,[2161]
cylicocyclus insignis,[2161]
cylicocyclus leptostomus,[2161]
cylicocyclus nassatus,"[2158, 2161, 2163, 2164]"
cylicodontophorus bicoronatus,[2161]
cylicospirura felineus,[3385]
cylicospirura subaequalis,[4955]
cylicostephanus calicatus,[2161]
cylicostephanus goldi,[2161]
cylindrocladiella peruviana,[4416]
cyllamyces aberensis,[854]
cymbidium mosaic virus,"[624, 1743, 1747, 4396, 4407, 6125, 6126, 6127]"
cymothoa indica,[5439]
cyphellophora laciniata,[2813]
cypovirus 1,"[843, 1849]"
cypovirus 14,"[2703, 3379]"
cypovirus 15,[5967]
cypovirus 4,[465]
cypovirus 5,[2703]
cyprinid herpesvirus 2,[1099]
cyprinid herpesvirus 3,[1767]
cystocaulus ocreatus,"[1072, 4152]"
cystoisospora belli,[2813]
cystoisospora felis,[2326]
cystoisospora ohioensis,"[1062, 1063]"
cystoisospora rivolta,[2326]
cystoisospora suis,"[5719, 5720]"
cystoisospora timoni,[5716]
cystoopsis atractostei,[671]
cystosporogenes legeri,[3276]
cystosporogenes operophterae,[4072]
cytauxzoon felis,"[2326, 3155, 3156, 3385, 4219, 4955]"
cytauxzoon manul,[4147]
dacnusa sasakawai,[1351]
dactylogyroides longicirrus,[4960]
dactylogyrus achmerowi,[1767]
dactylogyrus amphibothrium,[2637]
dactylogyrus anchoratus,"[1098, 1767]"
dactylogyrus auriculatus,[12]
dactylogyrus borealis,[4478]
dactylogyrus caballeroi,[5186]
dactylogyrus carpathicus,"[743, 745]"
dactylogyrus chondrostomi,[1345]
dactylogyrus chranilowi,[12]
dactylogyrus cornoides,[804]
dactylogyrus cornu,[804]
dactylogyrus crivellius,[742]
dactylogyrus crucifer,"[3212, 5186, 5289]"
dactylogyrus cryptomeres,[2581]
dactylogyrus difformis,[5289]
dactylogyrus difformoides,[5289]
dactylogyrus distinguendus,[804]
dactylogyrus dulkeiti,[1098]
dactylogyrus dyki,"[742, 743, 744, 745]"
dactylogyrus ergensi,[1345]
dactylogyrus extensus,[1767]
dactylogyrus falcatus,[14]
dactylogyrus fallax,"[5186, 5602]"
dactylogyrus folkmanovae,[5602]
dactylogyrus formosus,[1098]
dactylogyrus fraternus,[222]
dactylogyrus hemiamphibothrium,[2637]
dactylogyrus inexpectatus,[1098]
dactylogyrus intermedius,[1098]
dactylogyrus inversus,[3115]
dactylogyrus izjumovae,[5289]
dactylogyrus kikuchii,[3115]
dactylogyrus lamellatus,[1653]
dactylogyrus malleus,[743]
dactylogyrus minor,[222]
dactylogyrus nanoides,[5602]
dactylogyrus nanus,[5186]
dactylogyrus parvus,[222]
dactylogyrus petenyi,[742]
dactylogyrus petruschewskyi,[3527]
dactylogyrus propinquus,[15]
dactylogyrus prostae,[5602]
dactylogyrus ramulosus,"[639, 3212]"
dactylogyrus rarissimus,[5186]
dactylogyrus rutili,[5186]
dactylogyrus similis,[5186]
dactylogyrus sphyrna,"[804, 5186]"
dactylogyrus squameus,[4876]
dactylogyrus tuba,"[639, 3212]"
dactylogyrus vastator,[1767]
dactylogyrus vistulae,"[1345, 3212, 5602]"
dactylogyrus vranoviensis,[5602]
dactylogyrus wunderi,[14]
dactylogyrus zandti,[14]
dahlia mosaic virus,"[1781, 1782, 1783]"
daldinia childiae,[6248]
daldinia decipiens,[6248]
danaus gilippus,[629]
danaus plexippus,[630]
daphne mosaic virus,[1799]
daphnephila machilicola,[3415]
daphnephila ornithocephala,[3415]
daphnephila stenocalia,[3415]
daphnephila sueyenae,[3415]
daphnephila taiwanensis,[3415]
daphnephila truncicola,[3415]
dasheen mosaic virus,"[327, 1490, 4543, 6232, 6280]"
dasineura banksiae,[738]
dasineura carbonaria,[2298]
dasineura folliculi,"[5512, 5518]"
dasineura strobila,[3186]
dasineura tomentosa,[3186]
dasymetra nicolli,[3914]
dasyrhynchus giganteus,[1092]
dasyrhynchus variouncinatus,"[1094, 1096]"
dasytricha ruminantium,[4152]
davidiella tassiana,[4397]
deanolis albizonalis,[3474]
debaryomyces fabryi,[2813]
debaryomyces hansenii,"[2813, 4058]"
debaryomyces subglobosus,[2813]
decellebruchus atrolineatus,[6188]
deefgea chitinilytica,[5877]
deerpox virus w-848-83,[4024]
deformed wing virus,"[498, 682, 824, 840, 4723, 6016, 6151, 6258]"
degeeriella carruthi,[2319]
degeeriella fulva,[980]
degeeriella regalis,[975]
degeeriella rufa,[2311]
degeneria halosauri,[2682]
deinococcus aeria,[4420]
deinococcus gobiensis,[4130]
deinococcus proteolyticus,[3059]
deinococcus xinjiangensis,[446]
deladenus siricidicola,[5465]
delftia acidovorans,"[408, 723, 891, 2813, 5194, 5569]"
delftia lacustris,[1683]
delftia tsuruhatensis,"[120, 891, 2813, 4094, 4420]"
